ZIP,county_fips,county_name,ranking_ratio
43318,091,Logan,0.7630331753554502
43319,091,Logan,0.9933184855233853
43320,117,Morrow,0.6890034364261168
43321,117,Morrow,1.0
43322,101,Marion,1.0
43323,175,Wyandot,0.9132075471698113
43324,091,Logan,0.5094543490005402
43325,117,Morrow,1.0
43326,065,Hardin,0.3521441334127457
43330,175,Wyandot,0.0
43331,091,Logan,0.599200685127034
43332,101,Marion,0.8372844827586207
43333,091,Logan,0.8631578947368421
43334,117,Morrow,0.47407670454545453
43336,091,Logan,0.0
43337,101,Marion,0.897025171624714
43338,117,Morrow,0.3757295230428658
43340,065,Hardin,0.9224376731301939
43341,101,Marion,0.9423076923076923
43342,101,Marion,0.8341463414634146
43343,091,Logan,0.8673835125448028
43344,159,Union,0.5085381091211995
43345,065,Hardin,0.5742574257425742
43346,065,Hardin,0.0
43347,091,Logan,0.9371534195933456
43348,091,Logan,0.6090032154340836
43349,117,Morrow,0.0
43350,117,Morrow,1.0
43351,175,Wyandot,0.38604076590487957
43356,101,Marion,0.7946210268948656
43357,091,Logan,0.6262088974854932
43358,091,Logan,0.45962732919254656
43359,175,Wyandot,1.0
43360,091,Logan,1.0
43402,173,Wood,0.20550211384106365
43403,173,Wood,0.0
43406,173,Wood,0.8193069306930693
43407,143,Sandusky,1.0
43408,123,Ottawa,1.0
43410,143,Sandusky,0.6272024065320154
43412,095,Lucas,0.5143312101910829
43413,173,Wood,0.8048359240069085
43414,173,Wood,1.0
43416,123,Ottawa,0.9280415430267063
43420,143,Sandusky,0.17564462598927752
43430,123,Ottawa,0.9234543670264965
43431,143,Sandusky,0.8155197657393851
43432,123,Ottawa,1.0
43433,123,Ottawa,1.0
43434,095,Lucas,1.0
43435,143,Sandusky,0.543035993740219
43436,123,Ottawa,1.0
43437,173,Wood,0.6855345911949685
43438,043,Erie,1.0
43439,123,Ottawa,1.0
43440,123,Ottawa,0.5829611248966088
43441,173,Wood,1.0
43442,143,Sandusky,0.7467248908296943
43443,173,Wood,0.9705521472392638
43445,123,Ottawa,0.3409090909090909
43446,123,Ottawa,1.0
43447,173,Wood,0.6628278950735764
43449,123,Ottawa,0.5126779359430605
43450,173,Wood,0.8325123152709359
43451,173,Wood,0.6720647773279352
43452,123,Ottawa,0.20648510793332725
43456,123,Ottawa,1.0
43457,173,Wood,0.6015625
43458,123,Ottawa,1.0
43460,173,Wood,0.5139231582657737
43462,173,Wood,0.9219712525667351
43463,173,Wood,1.0
43464,143,Sandusky,0.5855728429985856
43465,173,Wood,0.7126666666666667
43466,173,Wood,0.8597826086956522
43467,173,Wood,1.0
43468,123,Ottawa,1.0
43469,143,Sandusky,0.9445266272189349
43501,171,Williams,1.0
43502,051,Fulton,0.6687004270896888
43504,095,Lucas,0.9754601226993865
43505,171,Williams,1.0
43506,171,Williams,0.34856593934403735
43510,069,Henry,1.0
43511,173,Wood,0.7279596977329975
43512,039,Defiance,0.1849543104058936
43515,051,Fulton,0.4658082975679542
43516,069,Henry,0.7876175548589341
43517,171,Williams,0.7552404438964242
43518,171,Williams,0.9878472222222222
43519,039,Defiance,1.0
43520,039,Defiance,1.0
43521,051,Fulton,0.9186330349877949
43522,173,Wood,0.5261813537675607
43523,069,Henry,1.0
43524,069,Henry,0.8640275387263339
43525,173,Wood,1.0
43526,039,Defiance,0.7523547880690737
43527,069,Henry,0.8831822759315207
43528,095,Lucas,0.31380546285996785
43529,173,Wood,1.0
43530,039,Defiance,0.0
43531,171,Williams,1.0
43532,069,Henry,0.9291736930860034
43533,051,Fulton,0.8789808917197452
43534,069,Henry,0.7859007832898173
43535,069,Henry,1.0
43536,039,Defiance,0.8805031446540881
43537,095,Lucas,0.14657758385601308
43540,051,Fulton,1.0
43541,173,Wood,1.0
43542,095,Lucas,0.6275752773375595
43543,171,Williams,0.5631198070222461
43545,069,Henry,0.38892197736748063
43547,095,Lucas,1.0
43548,069,Henry,0.8921568627450981
43549,039,Defiance,1.0
43551,173,Wood,0.160166312649704
43552,173,Wood,1.0
43553,051,Fulton,1.0
43554,171,Williams,0.9686706181202371
43555,069,Henry,1.0
43556,039,Defiance,0.9242603550295858
43557,171,Williams,0.9006568144499179
43558,051,Fulton,0.33531844499586433
43560,095,Lucas,0.16087763065310562
43565,173,Wood,1.0
43566,095,Lucas,0.5144874604334064
43567,051,Fulton,0.3911594457112787
43569,173,Wood,0.8547271329746349
43570,171,Williams,0.8992302309307207
43571,095,Lucas,0.5794017884674684
43601,095,Lucas,0.0
43604,095,Lucas,0.22993756662098372
43605,095,Lucas,0.1361675908810844
43606,095,Lucas,0.15495524043412817
43607,095,Lucas,0.13726593265289722
43608,095,Lucas,0.17222723174030657
43609,095,Lucas,0.16878316906747537
43610,095,Lucas,0.31422680412371135
43611,095,Lucas,0.20408621463852716
43612,095,Lucas,0.12287361169689301
43613,095,Lucas,0.16249613839975285
43614,095,Lucas,0.1223021582733813
43615,095,Lucas,0.12456244033277265
43616,095,Lucas,0.21159693824053685
43617,095,Lucas,0.46237901966906025
43619,173,Wood,0.6789046042732471
43620,095,Lucas,0.5306775225356208
43623,095,Lucas,0.1981733422129198
43635,095,Lucas,1.0
43652,095,Lucas,0.0
43654,173,Wood,0.0
43656,095,Lucas,0.0
43657,095,Lucas,0.0
43659,095,Lucas,0.0
43660,095,Lucas,0.0
43661,095,Lucas,0.0
43666,095,Lucas,0.0
43667,095,Lucas,0.0
43701,119,Muskingum,0.08703255813953488
43702,119,Muskingum,1.0
43711,121,Noble,1.0
43713,013,Belmont,0.7159968059622039
43716,111,Monroe,0.7665706051873199
43717,121,Noble,1.0
43718,013,Belmont,0.4426534407935524
43719,013,Belmont,0.5828343313373253
43720,119,Muskingum,0.6352395672333848
43721,089,Licking,1.0
43722,059,Guernsey,1.0
43723,059,Guernsey,0.8672905146746066
43724,121,Noble,0.5830878020035356
43725,059,Guernsey,0.23142805625676163
43727,119,Muskingum,0.6367239101717305
43728,115,Morgan,0.7736185383244206
43730,127,Perry,0.8282548476454293
43731,127,Perry,0.5694006309148265
43732,059,Guernsey,0.7103128621089224
43733,059,Guernsey,1.0
43734,119,Muskingum,1.0
43735,119,Muskingum,1.0
43736,059,Guernsey,0.0
43738,119,Muskingum,0.0
43739,127,Perry,0.6475225225225225
43740,089,Licking,0.6274509803921569
43746,119,Muskingum,0.9209225700164745
43747,111,Monroe,0.6604477611940298
43748,127,Perry,0.7792836398838335
43749,059,Guernsey,0.8049698795180723
43750,059,Guernsey,1.0
43752,111,Monroe,0.0
43754,111,Monroe,0.37051282051282053
43755,059,Guernsey,0.52
43756,115,Morgan,0.5137614678899083
43757,111,Monroe,1.0
43758,115,Morgan,0.5480471171729696
43759,013,Belmont,1.0
43760,127,Perry,0.35970464135021096
43761,127,Perry,0.0
43762,119,Muskingum,0.6435142594296228
43764,127,Perry,0.7098966829798804
43766,127,Perry,0.5597633136094674
43767,119,Muskingum,0.8808823529411764
43768,059,Guernsey,0.0
43771,119,Muskingum,0.9966405375139977
43772,059,Guernsey,0.5394285714285715
43773,059,Guernsey,0.5790513833992095
43777,119,Muskingum,0.47937894226103833
43778,059,Guernsey,0.5086092715231788
43779,121,Noble,0.9612068965517241
43780,059,Guernsey,0.7731343283582089
43782,127,Perry,0.9778270509977827
43783,127,Perry,0.4503853564547206
43786,111,Monroe,0.0
43787,115,Morgan,0.6426783479349186
43788,121,Noble,0.7525562372188139
43791,119,Muskingum,0.64
43793,111,Monroe,0.642078488372093
43802,119,Muskingum,0.9879275653923542
43803,031,Coshocton,0.0
43804,075,Holmes,0.3724409448818898
43805,031,Coshocton,1.0
43811,031,Coshocton,0.9975845410628019
43812,031,Coshocton,0.27042709026919054
43821,119,Muskingum,0.7215496368038741
43822,119,Muskingum,0.5089437819420783
43824,031,Coshocton,0.8351164254247955
43828,031,Coshocton,1.0
43830,119,Muskingum,0.47861724875267286
43832,157,Tuscarawas,0.7011372652737371
43836,031,Coshocton,1.0
43837,157,Tuscarawas,0.7469066366704162
43840,157,Tuscarawas,0.8275193798449613
43842,119,Muskingum,1.0
43843,031,Coshocton,0.5389948006932409
43844,031,Coshocton,0.562907268170426
43845,031,Coshocton,0.9838926174496644
43901,081,Jefferson,0.703405017921147
43902,013,Belmont,1.0
43903,081,Jefferson,0.5353982300884956
43905,013,Belmont,1.0
43906,013,Belmont,0.40601325757575757
43907,067,Harrison,0.6012793176972282
43908,081,Jefferson,0.8840125391849529
43909,013,Belmont,1.0
43910,081,Jefferson,0.8074385122975405
43912,013,Belmont,0.5379209370424597
43913,081,Jefferson,1.0
43914,111,Monroe,1.0
43915,111,Monroe,0.9837092731829574
