region_id,region,anchor_county,county_name,SCH_NAME,LEA_NAME,school_level,school_type,zip5
1.0,Group 1 - Columbus Core,Franklin,Delaware,Prairie Run Elementary School,Big Walnut Local,Elementary,Regular School,43074
1.0,Group 1 - Columbus Core,Franklin,Delaware,Robert F Schultz Elementary School,Delaware City,Elementary,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Rutherford B Hayes High School,Delaware City,High,Regular School,43015
1.0,Group 1 - Columbus Core,Franklin,Delaware,Scioto Ridge Elementary School,Olentangy Local,Elementary,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Shale Meadows Elementary School,Olentangy Local,Elementary,Regular School,43035
1.0,Group 1 - Columbus Core,Franklin,Delaware,Sutter Park Preschool,Worthington City,Prekindergarten,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Tyler Run Elementary School,Olentangy Local,Elementary,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Delaware,Walnut Creek Elementary,Olentangy Local,Elementary,Regular School,43021
1.0,Group 1 - Columbus Core,Franklin,Delaware,Westerville Central High School,Westerville City,High,Regular School,43082
1.0,Group 1 - Columbus Core,Franklin,Delaware,Wyandot Run Elementary School,Olentangy Local,Elementary,Regular School,43065
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Amanda-Clearcreek Elementary School,Amanda-Clearcreek Local,Elementary,Regular School,43102
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Amanda-Clearcreek High School,Amanda-Clearcreek Local,High,Regular School,43102
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Amanda-Clearcreek Middle School,Amanda-Clearcreek Local,Middle,Regular School,43102
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Amanda-Clearcreek Primary School,Amanda-Clearcreek Local,Elementary,Regular School,43102
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Berne Union Elementary School,Berne Union Local,Elementary,Regular School,43155
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Berne Union High School,Berne Union Local,High,Regular School,43155
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Bloom Carroll Intermediate School,Bloom-Carroll Local,Elementary,Regular School,43112
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Bloom Carroll Primary School,Bloom-Carroll Local,Elementary,Regular School,43112
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Bloom-Carroll High School,Bloom-Carroll Local,High,Regular School,43112
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Bloom-Carroll Middle School,Bloom-Carroll Local,Middle,Regular School,43112
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Bremen Elementary School,Fairfield Union Local,Elementary,Regular School,43107
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Bridges,Lancaster City,Elementary,Regular School,43130
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Diley Middle School,Pickerington Local,Middle,Regular School,43147
1.0,Group 1 - Columbus Core,Franklin,Fairfield,Early Childhood Center 1,Lancaster City,Prekindergarten,Regular School,43130
