region_id,region,anchor_county,max_anchor_distance_miles,avg_anchor_distance_miles,counties_in_proxy_radius,county_count,counties_outside_proxy_radius,feasible_1hr_proxy,proxy_method
1,Group 1 - Columbus Core,Franklin,121.2,74.23333333333333,1,6,5,False,County centroid distance; feasible if <= 50 miles
2,Group 2 - Newark / East-Central,Licking,91.1,53.79999999999999,1,3,2,False,County centroid distance; feasible if <= 50 miles
3,Group 3 - Southeast Cluster,Athens,100.4,65.83333333333333,1,6,5,False,County centroid distance; feasible if <= 50 miles
4,Group 4 - Southern Corridor,Jackson,105.7,63.775000000000006,1,4,3,False,County centroid distance; feasible if <= 50 miles
5,Group 5 - Eastern Edge,Guernsey,147.9,82.16666666666667,1,6,5,False,County centroid distance; feasible if <= 50 miles
